Invoice_ID,Customer_ID,Customer_Name,Customer_Type,Industry,Region,Country,City,Email,Phone,Registration_Date,Account_Status,Payment_Terms,Credit_Limit,Account_Manager,Contract_ID,Service_Type,Plan_Name,Unit_Price,Estimated_Usage,Contract_Price,Discount_Allowed,Tax_Rate,Billing_Cycle,Contract_Duration,SLA_Level,Billing_Month,Billing_Year,Actual_Usage,Billed_Usage,Peak_Usage,OffPeak_Usage,Expected_Amount,Invoice_Date,Due_Date,Currency,Invoice_Status,Payment_Status,Invoice_Version,Tax_Expected,Tax_Billed,Discount_Applied,Discount_Amount,Billed_Amount,Missing_GST,Usage_Mismatch,Extra_Discount,Wrong_Pricing,Missing_Charge,Duplicate_Invoice,Contract_Violation,Late_Billing,Leakage,Leakage_Type,Leakage_Amount
INV000001,CUST00135,"Rodriguez, Brown and Mcneil",SMB,Telecom,South,USA,Michelleview,jacob83@trujillo.biz,+1-752-507-4466x60993,2026-02-22,Suspended,Net 60,912522,Sneha Patel,CON00007,Internet,Fiber 1000,10,1498,9060,0,18,Monthly,12,Bronze,9,2026,906,906,931,860,9060,2026-05-30,2026-06-29,INR,Sent,Pending,2,1630.8,1630.8,0,0.0,10690.8,0,0,0,0,0,0,0,0,0,None,0.0
INV000002,CUST00294,Johnson-Schultz,SMB,Logistics,West,Singapore,West Angelashire,sanchezangela@torres.info,883-925-8238,2021-12-13,Suspended,Net 60,678349,Sneha Patel,CON00076,Voice,Voice Premium,5,1616,6230,15,18,Monthly,24,Gold,5,2026,1246,1246,1516,1245,6230,2026-03-03,2026-04-02,EUR,Generated,Pending,2,1121.4,1121.4,15,934.5,6416.9,0,0,0,0,0,0,0,0,0,None,0.0
INV000003,CUST00402,Johnson-Hansen,Retail,Manufacturing,North,Singapore,Davisberg,kristin98@martinez-daniels.org,306-726-0787x0104,2022-06-04,Active,Net 30,215937,John Thomas,CON00073,Cloud,Business Cloud,20,2446,12560,5,18,Yearly,24,Platinum,6,2026,628,628,866,571,12560,2026-04-27,2026-05-27,USD,Paid,Pending,2,2260.8,2260.8,5,628.0,14192.8,0,0,0,0,0,0,0,0,0,None,0.0
INV000004,CUST00427,Martin-Roberts,SMB,Logistics,West,India,Gonzalesburgh,sheila49@middleton.com,(513)288-2090,2025-10-01,Suspended,Net 30,678138,John Thomas,CON00029,Internet,Fiber 300,10,1536,27660,15,18,Yearly,24,Gold,5,2026,2766,2766,2857,2640,27660,2026-03-21,2026-04-20,USD,Paid,Pending,2,4978.8,4978.8,15,4149.0,24933.75,0,0,0,0,1,0,0,0,1,Missing Charge,3556.05
INV000005,CUST00346,"Ellis, Gonzales and Gomez",SMB,Education,South,Australia,Shawview,tmeyer@torres.com,(251)811-3129x01487,2025-12-03,Suspended,Net 45,73429,Rahul Sharma,CON00076,Voice,Voice Premium,5,1616,14290,15,18,Monthly,24,Gold,7,2026,2858,2732,2987,2670,14290,2025-12-06,2026-01-05,USD,Generated,Overdue,3,2572.2,2572.2,15,2143.5,14088.7,0,1,0,0,0,0,0,0,1,Usage Mismatch,630.0
INV000006,CUST00500,Hansen-Brown,Enterprise,Manufacturing,West,Singapore,Thomasberg,flemingcameron@hill.com,001-597-862-6374x845,2022-10-28,Active,Net 15,459064,Rahul Sharma,CON00113,Security,Firewall,15,1394,21300,15,18,Quarterly,12,Platinum,1,2026,1420,1420,1596,1410,21300,2026-07-07,2026-08-06,USD,Sent,Overdue,1,3834.0,3834.0,15,3195.0,21939.0,0,0,0,0,0,0,0,0,0,None,0.0
INV000007,CUST00125,Bell-Bennett,Enterprise,IT,West,USA,Kramershire,franciscojones@phillips.com,715-926-2181,2021-11-10,Inactive,Net 30,420608,Priya Nair,CON00152,Internet,Fiber 1000,10,1445,29030,10,18,Quarterly,12,Silver,6,2026,2903,2760,3183,2773,29030,2025-08-08,2025-09-07,INR,Sent,Overdue,2,5225.4,5225.4,10,2903.0,29922.4,0,1,0,0,0,0,0,0,1,Usage Mismatch,1430.0
INV000008,CUST00202,"James, Tate and Barr",Retail,IT,North,India,East Misty,kaylawilliams@collins-mack.info,221-923-0940x7778,2023-08-15,Active,Net 45,657847,Priya Nair,CON00045,SaaS,HRMS,25,1624,61875,0,18,Yearly,12,Bronze,1,2026,2475,2475,2535,2459,61875,2026-03-30,2026-04-29,INR,Sent,Overdue,3,11137.5,11137.5,0,0.0,73012.5,0,0,0,0,0,0,0,0,0,None,0.0
INV000009,CUST00448,Kelly-Cox,Enterprise,Logistics,South,UK,Gallegosburgh,herringbrenda@medina.biz,(943)658-8418x343,2021-11-11,Active,Net 30,385098,John Thomas,CON00039,Cloud,Enterprise Cloud,20,2299,33960,0,18,Quarterly,24,Bronze,12,2026,1698,1698,1856,1607,33960,2025-08-26,2025-09-25,USD,Sent,Overdue,3,6112.8,6112.8,0,0.0,40072.8,0,0,0,0,0,0,0,0,0,None,0.0
INV000010,CUST00366,"Johnson, Hanna and Watson",Government,Manufacturing,West,Singapore,Lake Bonniefort,anthonydiaz@sanchez.org,(422)272-8476x57041,2021-11-13,Active,Net 45,273332,Sneha Patel,CON00077,Security,Firewall,15,2878,25515,0,18,Quarterly,12,Gold,9,2026,1701,1701,1806,1565,25515,2026-05-09,2026-06-08,USD,Sent,Overdue,1,4592.7,4592.7,0,0.0,30107.7,0,0,0,0,0,0,0,0,0,None,0.0
INV000011,CUST00118,Smith and Sons,Enterprise,Manufacturing,North,Singapore,East Madison,gina19@green.com,472.815.1070,2024-12-15,Inactive,Net 60,266464,Priya Nair,CON00111,Cloud,Enterprise Cloud,20,2083,34900,15,18,Yearly,24,Bronze,4,2026,1745,1745,1860,1720,34900,2026-05-26,2026-06-25,INR,Generated,Paid,3,6282.0,6282.0,15,5235.0,35947.0,0,0,0,0,0,0,0,0,0,None,0.0
INV000012,CUST00122,"Parker, Henry and Davis",Retail,Telecom,West,India,New Jeffery,nsmith@drake.com,700-629-2185x15691,2024-05-04,Suspended,Net 60,413714,John Thomas,CON00198,Cloud,Basic Cloud,20,2861,29080,0,18,Monthly,24,Silver,3,2026,1454,1391,1719,1335,29080,2025-12-23,2026-01-22,INR,Paid,Overdue,1,5234.4,5234.4,0,0.0,33054.4,0,1,0,0,0,0,0,0,1,Usage Mismatch,1260.0
INV000013,CUST00123,Daugherty Ltd,Enterprise,Finance,North,USA,Connerfort,grant89@walker-chapman.com,(544)322-0969x0295,2025-10-25,Suspended,Net 45,107108,Sneha Patel,CON00143,Security,SOC,15,524,13380,0,18,Monthly,24,Bronze,12,2026,892,892,1010,852,13380,2026-03-22,2026-04-21,EUR,Sent,Overdue,3,2408.4,2408.4,0,0.0,15788.4,0,0,0,0,0,0,0,1,1,Late Billing,2681.0
